title,author,rating,url
Дюна. Первая трилогия,Фрэнк Герберт,4.4,https://www.litres.ru/book/frenk-gerbert/duna-pervaya-trilogiya-25440524/
Дюна,Фрэнк Герберт,4.4,https://www.litres.ru/audiobook/frenk-gerbert/duna-66579770/
Дюна,Фрэнк Герберт,4.5,https://www.litres.ru/book/frenk-gerbert/duna-55339991/
Дюна,Фрэнк Герберт,4.5,https://www.litres.ru/book/frenk-gerbert/duna-122116/
Дюна. Мессия Дюны. Дети Дюны,Фрэнк Герберт,4.4,https://www.litres.ru/book/frenk-gerbert/duna-messiya-duny-deti-duny-25297724/
Дюна. Батлерианский джихад,Кевин Андерсон,4.6,https://www.litres.ru/book/brayan-gerbert/duna-batlerianskiy-dzhihad-142979/
Дюна: Леди Каладана,Кевин Андерсон,4.2,https://www.litres.ru/book/brayan-gerbert/duna-ledi-kaladana-68328620/
Дюна: Пол,Кевин Андерсон,4.5,https://www.litres.ru/book/brayan-gerbert/duna-pol-67877355/
Дюна. Битва при Коррине,Кевин Андерсон,4.5,https://www.litres.ru/book/brayan-gerbert/duna-bitva-pri-korrine-171882/
Дюна: Герцог Каладана,Кевин Андерсон,4.7,https://www.litres.ru/book/brayan-gerbert/duna-gercog-kaladana-66472108/
Дюна: Орден сестер,Кевин Андерсон,4.2,https://www.litres.ru/book/brayan-gerbert/duna-orden-sester-18147293/
Дюна. Графический роман. Том 2. Муад'диб,Фрэнк Герберт,4.0,https://www.litres.ru/book/frenk-gerbert/duna-graficheskiy-roman-tom-2-muad-dib-69553657/
